"date","index_ES"
2019-01-06,2
2019-01-13,2.5
2019-01-20,2.5
2019-01-27,1.5
2019-02-03,3
2019-02-10,2
2019-02-17,2
2019-02-24,1.5
2019-03-03,1
2019-03-10,1.5
2019-03-17,4
2019-03-24,2.5
2019-03-31,3
2019-04-07,2
2019-04-14,2
2019-04-21,2
2019-04-28,1
2019-05-05,2.5
2019-05-12,2.5
2019-05-19,0.5
2019-05-26,0.5
2019-06-02,2.5
2019-06-09,3.5
2019-06-16,2.5
2019-06-23,1.5
2019-06-30,2.5
2019-07-07,2
2019-07-14,2
2019-07-21,2
2019-07-28,3
2019-08-04,3
2019-08-11,2
2019-08-18,1.5
2019-08-25,2.5
2019-09-01,3.5
2019-09-08,2
2019-09-15,2
2019-09-22,2
2019-09-29,1
2019-10-06,1
2019-10-13,2.5
2019-10-20,1.5
2019-10-27,3
2019-11-03,2.5
2019-11-10,2
2019-11-17,2.5
2019-11-24,1.5
2019-12-01,2
2019-12-08,3.5
2019-12-15,3.5
2019-12-22,6
2019-12-29,11.5
2020-01-05,7.5
2020-01-12,7
2020-01-19,5
2020-01-26,6
2020-02-02,4.5
2020-02-09,3
2020-02-16,4.5
2020-02-23,2.5
2020-03-01,2
2020-03-08,2.5
2020-03-15,2
2020-03-22,5.5
2020-03-29,5
2020-04-05,2
2020-04-12,2.5
2020-04-19,3
2020-04-26,3.5
2020-05-03,3.5
2020-05-10,2.5
2020-05-17,3
2020-05-24,2.5
2020-05-31,1.5
2020-06-07,2
2020-06-14,3.5
2020-06-21,2
2020-06-28,3
2020-07-05,3
2020-07-12,2.5
2020-07-19,3.5
2020-07-26,2
2020-08-02,3
2020-08-09,3
2020-08-16,1
2020-08-23,2
2020-08-30,2.5
2020-09-06,3
2020-09-13,3
2020-09-20,1.5
2020-09-27,3.5
2020-10-04,1.5
2020-10-11,2.5
2020-10-18,3
2020-10-25,2.5
2020-11-01,3.5
2020-11-08,2.5
2020-11-15,3
2020-11-22,2.5
2020-11-29,2
2020-12-06,3.5
2020-12-13,3
2020-12-20,2.5
2020-12-27,2.5
2021-01-03,3.5
2021-01-10,4
2021-01-17,6.5
2021-01-24,3.5
2021-01-31,4
2021-02-07,4
2021-02-14,3.5
2021-02-21,4.5
2021-02-28,5
2021-03-07,4
2021-03-14,2.5
2021-03-21,3
2021-03-28,5
2021-04-04,4.5
2021-04-11,4.5
2021-04-18,4
2021-04-25,6
2021-05-02,7
2021-05-09,8.5
2021-05-16,10.5
2021-05-23,23.5
2021-05-30,227.5
2021-06-06,103.5
2021-06-13,62.5
2021-06-20,44.5
2021-06-27,37.5
2021-07-04,34
2021-07-11,28
2021-07-18,34
2021-07-25,25.5
2021-08-01,26
2021-08-08,36.5
2021-08-15,29.5
2021-08-22,27.5
2021-08-29,32
2021-09-05,29
2021-09-12,29
2021-09-19,21
2021-09-26,26
2021-10-03,27
2021-10-10,27
2021-10-17,23.5
2021-10-24,38
2021-10-31,35
