cod,name,group,reg,since,until
R2-530,ENERGÍA CEUTA XXI COMERCIALIZADORA DE REFERENCIA S.A.,ENDESA,T,2014 Q4,2019 Q4
R2-292,ENERGIA XXI COMERCIALIZADORA DE REFERENCIA S.L.U.,ENDESA,T,2011 Q1,2019 Q4
R2-001,ENDESA ENERGÍA S.A.U.,ENDESA,F,2012 Q1,2019 Q4
R2-252,ENDESA GENERACION SA,ENDESA,F,2011 Q1,2012 Q3
R2-250,ENEL GREEN POWER ESPAÑA SL,ENDESA,F,2011 Q1,2017 Q2
R2-329,CURENERGÍA COMERCIALIZADOR DE ÚLTIMO RECURSO S.A.U.,IBERDROLA,T,2011 Q1,2019 Q4
R2-002,"IBERDROLA, S.A",IBERDROLA,F,2011 Q1,2014 Q3
R2-042,IBERDROLA GENERACION S.A.U,IBERDROLA,F,2011 Q1,2019 Q4
R2-515,"IBERDROLA CLIENTES, S.A.U.",IBERDROLA,F,2011 Q1,2019 Q4
R2-516,IBERDROLA GENERACIÓN ESPAÑA S.A.,IBERDROLA,F,2017 Q1,2019 Q4
R2-726,"IBERDROLA SERVICIOS ENERGETICOS, S.A.U.",IBERDROLA,F,2018 Q3,2019 Q4
R2-356,"COMERCIALIZADORA REGULADA, GAS & POWER, S.A.",NATURGY,T,2011 Q1,2019 Q4
R2-140,GAS NATURAL COMERCIALIZADORA SA,NATURGY,F,2011 Q1,2019 Q4
R2-141,"GAS NATURAL ELECTRICIDAD SDG, S.A.",NATURGY,F,2011 Q1,2012 Q4
R2-142,"NATURGY IBERIA, S.A.",NATURGY,F,2011 Q1,2019 Q4
R2-363,"NATURGY ENERGY GROUP, S.A.",NATURGY,F,2011 Q2,2017 Q4
R2-696,"NATURGY RENOVABLES, S.LU.",NATURGY,F,2017 Q4,2019 Q4
R2-120,"UNION FENOSA COMERCIAL, S.L.",NATURGY,F,2011 Q1,2013 Q1
R2-284,"BASER COMERCIALIZADORA DE REFERENCIA, S.A.",EDP,T,2011 Q1,2019 Q4
R2-004,"EDP ENERGÍA, S.A.U.",EDP,F,2012 Q1,2019 Q4
R2-182,"EDP COMERCIALIZADORA, S.A.",EDP,F,2013 Q1,2019 Q4
R2-156,"EDP ESPAÑA, S.A",EDP,F,2015 Q3,2015 Q3
R2-290,"RÉGSITI COMERCIALIZADORA REGULADA, S.L.U",REPSOL,T,2011 Q1,2019 Q4
R2-243,"REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U",REPSOL,F,2011 Q1,2019 Q4
R2-731,"REPSOL LNG HOLDING, S.A",REPSOL,F,2018 Q3,2019 Q4
R2-532,TERAMELCOR SL,OTHER,T,,
R2-540,"COMERCIALIZADOR DE REFERENCIA ENERGÉTICO, S.L.U.",CHC,T,,
R2-291,CIDE HCENERGÍA S.A.U,CHC,F,,
