Nombre;Código de sujeto;Código EIC;Tipo de SM
1;JOIN;18X0000000001RQ5;Consumidor directo mercado
18X000000000CICG;VIEPR;18X000000000CICG;Productor
18X000000000LVSK;MONCA;18X000000000LVSK;Productor
18XATAL-12345-1E;ATAL;18XATAL-12345-1E;Productor
18XBURGE-1234--I;BURGE;18XBURGE-1234--I;Productor
18XMIRAS-12345-9;MIRAS;18XMIRAS-12345-9;Productor
18XNEOSC-12345-4;NEOSC;18XNEOSC-12345-4;Productor
18XPAPELECKERSAC;PECKE;18XPAPELECKERSAC;Productor
18XPEUSA-12345-4;PEUSA;18XPEUSA-12345-4;Productor
18XTIRCA-12345-N;TIRCA;18XTIRCA-12345-N;Productor
24-7 UTILITIES;DCES;18XDANSKECOM--PG;Comercializador
3D SMART ENERGY SL;DSMAR;18X000000000LHZB;Comercializador
AB ENERGIA 1903;ABESL;18XABESL-12345-G;Comercializador
ABASTE COMERCIALIZADORA;ABAST;18X000000000FUA9;Comercializador
ABOUT WHITE SL;ABOUT;18XABOUT-1234--H;Comercializador
ACAPERSA 1997 SL;ACAPE;18X000000000M3AP;Consumidor directo mercado
ACCION ENERGIA COMERCIALIZADOR;ACCEN;18XACCEN-12345-0;Comercializador
ACENORCA;ACENO;18XACENORCASCL-S;Consumidor directo mercado
ACSOL ENERGIA GLOBAL;ACSOL;18X00000000019VC;Comercializador
ACTA HOTELES;FGACT;18X000000000KZW4;Consumidor directo mercado
ACTIVA ENERGIA;ACTIV;18X000000000G865;Comercializador
ADEINNOVA ENERGIA S.L;ADEIN;18XADEIN-12345-0;Comercializador
ADELFAS ENERGIA SL;ADELF;18XADELF-12345-5;Comercializador
ADS ENERGIA;ADSEN;18X000000000J8I6;Comercializador
ADS ENERGY 8.0 SL;ADSSM;18XADSSM-12345-E;Comercializador
ADURIZ ENERGIA;ADUR;18XADURI-12345-1;Comercializador
AE3000 AGENT COMERCIALIZADOR S;AGENT;18XAE3000AGENTC1;Productor
AGENTE DEL MERCADO ELECTRICO;AME;18XAME-123456-14;Comercializador
AGRI ENERGIA, S. A.;AGREN;18XAGREN-1234-3J;Comercializador
AGUAS DEL MARQUESADO S.L;AGMA;18XAGMA-123456-K;Consumidor directo mercado
