Código de UP;Descripción corta;Descripción larga;Potencia máxima MW;Código EIC;Tipo de producción;Negocio;Zona de Regulación;Sujeto del Mercado;Tipo de UP
A12PAME;A12PAME;A12PAME;0,5;18WA12PAME-123-U;Derivados del petróleo ó carbón;Venta;SZR;AME;Generación
A2GAME;A2GAME;A2GAME;3,8;18WA2GAME-1234-E;Energía residual;Venta;SZR;AME;Generación
ABA1;ABA1;ABARAN;0,3;18WABA1-123456-K;Hidráulica UGH;Venta;SZR;BARER;Generación
ABA2;ABA2;ABARAN 2;0,4;18WABA2-123456-A;Hidráulica UGH;Venta;SZR;BARER;Generación
ABASC01;UPC ABAST;UP COMPRA ABASTE;1,0;18W000000000G8RE;Comercializadores mercado libre;Compra;SZR;ABAST;Comercializadores
ABO1;ABOÑO 1;C.T. ABOÑO 1;341,7;18WABO1-12345-0X;Hulla antracita;Venta;HC;HC G;Generación
ABO2;ABOÑO 2;C.T. ABOÑO 2;561,8;18WABO2-12345-0N;Hulla antracita;Venta;HC;HC G;Generación
ABOUC01;ABOUTWHI;ABOUT WHITE, S.L.;0,1;18WABOUC01-123-F;Comercializadores mercado libre;Compra;SZR;ABOUT;Comercializadores
ACAPC01;ACAPERSA;ACAPERSA 1997;0,8;18W000000000MBVA;Consumos directos en mercado;Compra;SZR;ACAPE;Consum. directos a mercado
ACBFRAE;ACBFRA EXP;ACCIÓN COORDINADA DE BALANCE ES A FR;9.999,0;18WACBFRAE-12--2;Unidad instrumental internacional;Compra;SZR;REE;Unidad instrumental internacional
ACBFRAI;ACBFRA IMP;ACCIÓN COORDINADA DE BALANCE FR A ES;9.999,0;18WACBFRAI-12--B;Unidad instrumental internacional;Venta;SZR;REE;Unidad instrumental internacional
ACBPORE;ACBPOR EXP;ACCIÓN COORDINADA DE BALANCE ES A PT;9.999,0;18WACBPORE-123-3;Unidad instrumental internacional;Compra;SZR;REE;Unidad instrumental internacional
ACBPORI;ACBPOR IMP;ACCIÓN COORDINADA DE BALANCE PT A ES;9.999,0;18WACBPORI-123-C;Unidad instrumental internacional;Venta;SZR;REE;Unidad instrumental internacional
ACCEC01;ACCIONE;ACCION ENERGIA COMERCIALIZADORA;0,1;18WACCEC01-12--B;Comercializadores mercado libre;Compra;SZR;ACCEN;Comercializadores
ACE3;ACECA 3 IB;C. C. ACECA 3;386,0;18WACE3-12345-00;Ciclo Combinado;Venta;IBEG;IBGT;Generación
ACE4;ACECA 4 UF;C. C. ACECA 4;372,6;18WACE4-12345-0R;Ciclo Combinado;Venta;NTG;GNFG;Generación
ACENC01;ACENORCA;ACENORCA;0,9;18WACENORCA-SCLW;Consumos directos en mercado;Compra;SZR;ACENO;Consum. directos a mercado
ACHEC01;CHERA;ELECTRICA DE CHERA;1,4;18WACHEC01-123-I;Comercializadores mercado libre;Compra;SZR;ACHER;Comercializadores
ACSOC01;ACSOL;ACSOL ENERGIA GLOBAL;0,1;18W0000000001YAU;Comercializadores mercado libre;Compra;SZR;ACSOL;Comercializadores
ACTIC01;ACTIC01UN1;ACTIVA UPROG COMER 1;100,0;18W000000000GE8Y;Comercializadores mercado libre;Compra;SZR;ACTIV;Comercializadores
ADEIC01;ADEINNOVA;ADEINNOVA ENERGIA S.L;0,5;18WADEIC01-12--B;Comercializadores mercado libre;Compra;SZR;ADEIN;Comercializadores
ADELC01;ADELFAS;ADELFAS ENERGIA SL;4,0;18WADELC01-123-6;Comercializadores mercado libre;Compra;SZR;ADELF;Comercializadores
ADSEC01;ADSEC01;ADSEC01;16,0;18WADSEC01-123-X;Comercializadores mercado libre;Compra;SZR;ADSSM;Comercializadores
ADSNC01;ADS;ADS SOLUTIONS;1,0;18W000000000JBUO;Comercializadores mercado libre;Compra;SZR;ADSEN;Comercializadores
ADURC01;ADURIZ E;ADURIZ ENERGIA SL (COMERCIALIZADORA);0,0;18WADURC01-123-T;Comercializadores mercado libre;Compra;SZR;ADUR;Comercializadores
