location,sex,population2010,meanpopulation,population2011
Portugal,HM,10572157,10556999,10541840
Portugal,H,5054330,5042781,5031231
Portugal,M,5517827,5514218,5510609
Continente,HM,10057380,10042807,10028234
Continente,H,4806367,4795289,4784211
Continente,M,5251013,5247518,5244023
Norte,HM,3694152,3686784,3679416
Norte,H,1769493,1764054,1758614
Norte,M,1924659,1922731,1920802
Minho-Lima,HM,245307,244297,243286
Minho-Lima,H,114611,113996,113380
Minho-Lima,M,130696,130301,129906
Arcos de Valdevez,HM,22906,22741,22576
Arcos de Valdevez,H,10444,10348,10252
Arcos de Valdevez,M,12462,12393,12324
Caminha,HM,16716,16643,16570
Caminha,H,7743,7709,7675
Caminha,M,8973,8934,8895
Melgaço,HM,9242,9172,9102
Melgaço,H,4088,4048,4008
Melgaço,M,5154,5124,5094
Monção,HM,19281,19158,19034
Monção,H,8751,8675,8599
Monção,M,10530,10483,10435
Paredes de Coura,HM,9222,9175,9127
Paredes de Coura,H,4385,4356,4326
Paredes de Coura,M,4837,4819,4801
Ponte da Barca,HM,12081,12031,11980
Ponte da Barca,H,5602,5574,5545
Ponte da Barca,M,6479,6457,6435
Ponte de Lima,HM,43558,43423,43287
Ponte de Lima,H,20563,20477,20391
Ponte de Lima,M,22995,22946,22896
Valença,HM,14148,14080,14011
Valença,H,6628,6588,6547
Valença,M,7520,7492,7464
Viana do Castelo,HM,88869,88642,88415
Viana do Castelo,H,41980,41826,41671
Viana do Castelo,M,46889,46817,46744
Vila Nova de Cerveira,HM,9284,9234,9184
Vila Nova de Cerveira,H,4427,4397,4366
Vila Nova de Cerveira,M,4857,4838,4818
Cávado,HM,410462,410113,409764
Cávado,H,197060,196733,196406
Cávado,M,213402,213380,213358
Amares,HM,18890,18851,18812
Amares,H,9129,9101,9073
Amares,M,9761,9750,9739
Barcelos,HM,120461,120339,120216
Barcelos,H,58367,58246,58124
Barcelos,M,62094,62093,62092
Braga,HM,181579,181600,181620
Braga,H,86784,86750,86715
Braga,M,94795,94850,94905
Esposende,HM,34289,34268,34246
Esposende,H,16301,16277,16253
Esposende,M,17988,17991,17993
Terras de Bouro,HM,7269,7218,7166
Terras de Bouro,H,3478,3447,3416
Terras de Bouro,M,3791,3771,3750
Vila Verde,HM,47974,47839,47704
Vila Verde,H,23001,22913,22825
Vila Verde,M,24973,24926,24879
Ave,HM,512050,511327,510603
Ave,H,247342,246719,246096
Ave,M,264708,264608,264507
Fafe,HM,50691,50569,50446
Fafe,H,23970,23901,23831
Fafe,M,26721,26668,26615
Guimarães,HM,158207,158080,157953
Guimarães,H,76871,76718,76565
Guimarães,M,81336,81362,81388
Póvoa de Lanhoso,HM,21891,21839,21787
Póvoa de Lanhoso,H,10418,10373,10328
Póvoa de Lanhoso,M,11473,11466,11459
Santo Tirso,HM,71602,71434,71266
Santo Tirso,H,34383,34256,34129
Santo Tirso,M,37219,37178,37137
Trofa,HM,39025,38987,38949
Trofa,H,18848,18817,18785
Trofa,M,20177,20171,20164
Vieira do Minho,HM,13022,12960,12898
Vieira do Minho,H,6261,6222,6183
Vieira do Minho,M,6761,6738,6715
Vila Nova de Famalicão,HM,133889,133743,133596
Vila Nova de Famalicão,H,64944,64810,64675
Vila Nova de Famalicão,M,68945,68933,68921
Vizela,HM,23723,23716,23708
Vizela,H,11647,11624,11600
Vizela,M,12076,12092,12108
Grande Porto,HM,1289320,1287144,1284967
Grande Porto,H,612019,610377,608734
Grande Porto,M,677301,676767,676233
Espinho,HM,31812,31723,31633
Espinho,H,15133,15060,14986
Espinho,M,16679,16663,16647
Gondomar,HM,168157,167915,167672
Gondomar,H,81164,80943,80721
Gondomar,M,86993,86972,86951
Maia,HM,135320,135319,135318
Maia,H,64907,64861,64814
Maia,M,70413,70459,70504
Matosinhos,HM,175604,175429,175253
Matosinhos,H,83586,83442,83297
Matosinhos,M,92018,91987,91956
Porto,HM,238404,237461,236517
Porto,H,108580,108038,107495
Porto,M,129824,129423,129022
Póvoa de Varzim,HM,63490,63416,63342
Póvoa de Varzim,H,30035,29964,29893
Póvoa de Varzim,M,33455,33452,33449
Valongo,HM,93908,93894,93879
Valongo,H,45100,45034,44968
Valongo,M,48808,48860,48911
Vila do Conde,HM,79579,79521,79462
Vila do Conde,H,38493,38427,38361
Vila do Conde,M,41086,41094,41101
Vila Nova de Gaia,HM,303046,302469,301891
Vila Nova de Gaia,H,145021,144610,144199
Vila Nova de Gaia,M,158025,157859,157692
Tâmega,HM,550867,550147,549426
