"","lat","lon"
"1",25.5,-20
"2",26,-20
"3",26.5,-20
"4",27,-20
"5",27.5,-20
"6",28,-20
"7",28.5,-20
"8",29,-20
"9",29.5,-20
"10",30,-20
"11",30.5,-20
"12",31,-20
"13",31.5,-20
"14",32,-20
"15",32.5,-20
"16",33,-20
"17",33.5,-20
"18",34,-20
"19",34.5,-20
"20",35,-20
"21",35.5,-20
"22",36,-20
"23",36.5,-20
"24",37,-20
"25",37.5,-20
"26",38,-20
"27",38.5,-20
"28",39,-20
"29",39.5,-20
"30",40,-20
"31",40.5,-20
"32",41,-20
"33",41.5,-20
"34",42,-20
"35",42.5,-20
"36",43,-20
"37",43.5,-20
"38",44,-20
"39",44.5,-20
"40",45,-20
"41",45.5,-20
"42",46,-20
"43",46.5,-20
"44",47,-20
"45",25.5,-19.375
"46",26,-19.375
"47",26.5,-19.375
"48",27,-19.375
"49",27.5,-19.375
"50",28,-19.375
"51",28.5,-19.375
"52",29,-19.375
"53",29.5,-19.375
"54",30,-19.375
"55",30.5,-19.375
"56",31,-19.375
"57",31.5,-19.375
"58",32,-19.375
"59",32.5,-19.375
"60",33,-19.375
"61",33.5,-19.375
"62",34,-19.375
"63",34.5,-19.375
"64",35,-19.375
"65",35.5,-19.375
"66",36,-19.375
"67",36.5,-19.375
"68",37,-19.375
"69",37.5,-19.375
"70",38,-19.375
"71",38.5,-19.375
"72",39,-19.375
"73",39.5,-19.375
"74",40,-19.375
"75",40.5,-19.375
"76",41,-19.375
"77",41.5,-19.375
"78",42,-19.375
"79",42.5,-19.375
"80",43,-19.375
"81",43.5,-19.375
"82",44,-19.375
"83",44.5,-19.375
"84",45,-19.375
"85",45.5,-19.375
"86",46,-19.375
"87",46.5,-19.375
"88",47,-19.375
"89",25.5,-18.75
"90",26,-18.75
"91",26.5,-18.75
"92",27,-18.75
"93",27.5,-18.75
"94",28,-18.75
"95",28.5,-18.75
"96",29,-18.75
"97",29.5,-18.75
"98",30,-18.75
"99",30.5,-18.75
"100",31,-18.75
"101",31.5,-18.75
"102",32,-18.75
"103",32.5,-18.75
"104",33,-18.75
"105",33.5,-18.75
"106",34,-18.75
"107",34.5,-18.75
"108",35,-18.75
"109",35.5,-18.75
"110",36,-18.75
"111",36.5,-18.75
"112",37,-18.75
"113",37.5,-18.75
